observation_time,station_id,raw_text,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,flight_category,sky_cover,cloud_base_ft_agl
2024-02-26T22:54:00Z,KBTV,KBTV 262254Z 01007KT 10SM SCT200 04/M08 A2999 RMK AO2 SLP160 T00441083,44.4683,-73.1499,4.4,-8.3,10,7,,10+,29.99,VFR,scattered ,20000
2024-02-26T23:54:00Z,KBTV,KBTV 262354Z 36006KT 10SM CLR 03/M11 A3002 RMK AO2 SLP169 60000 T00331106 10078 20033 53023,44.4683,-73.1499,3.3,-10.6,360,6,,10+,30.02,VFR,clear,
2024-02-27T00:54:00Z,KBTV,KBTV 270054Z 06004KT 10SM CLR 02/M08 A3002 RMK AO2 SLP170 T00171083,44.4683,-73.1499,1.7,-8.3,60,4,,10+,30.02,VFR,clear,
2024-02-27T01:54:00Z,KBTV,KBTV 270154Z 00000KT 10SM CLR 01/M08 A3002 RMK AO2 SLP171 T00061083,44.4683,-73.1499,0.6,-8.3,0,0,,10+,30.02,VFR,clear,
2024-02-27T02:54:00Z,KBTV,KBTV 270254Z 00000KT 10SM CLR M01/M07 A3002 RMK AO2 SLP170 T10111072 50002,44.4683,-73.1499,-1.1,-7.2,0,0,,10+,30.02,VFR,clear,
2024-02-27T03:54:00Z,KBTV,KBTV 270354Z 00000KT 10SM CLR M01/M06 A3001 RMK AO2 SLP165 T10111061,44.4683,-73.1499,-1.1,-6.1,0,0,,10+,30.01,VFR,clear,
2024-02-27T04:54:00Z,KBTV,KBTV 270454Z 19004KT 10SM CLR M02/M07 A3000 RMK AO2 SLP163 LAST T10221067 400781022,44.4683,-73.1499,-2.2,-6.7,190,4,,10+,30,VFR,clear,
2024-02-27T05:54:00Z,KBTV,KBTV 270554Z AUTO 18004KT 10SM CLR M02/M07 A3000 RMK AO2 SLP162 T10221072 10028 21022 56008,44.4683,-73.1499,-2.2,-7.2,180,4,,10+,30,VFR,clear,
2024-02-27T06:54:00Z,KBTV,KBTV 270654Z AUTO 17004KT 10SM CLR M01/M06 A2999 RMK AO2 SLP158 T10111061,44.4683,-73.1499,-1.1,-6.1,170,4,,10+,29.99,VFR,clear,
2024-02-27T07:54:00Z,KBTV,KBTV 270754Z AUTO 17003KT 10SM CLR M01/M06 A2997 RMK AO2 SLP152 T10061056,44.4683,-73.1499,-0.6,-5.6,170,3,,10+,29.97,VFR,clear,
2024-02-27T08:54:00Z,KBTV,KBTV 270854Z AUTO 15006KT 10SM CLR 01/M04 A2996 RMK AO2 SLP147 T00111044 58014,44.4683,-73.1499,1.1,-4.4,150,6,,10+,29.96,VFR,clear,
2024-02-27T09:54:00Z,KBTV,KBTV 270954Z AUTO 18009KT 10SM CLR 04/M03 A2995 RMK AO2 SLP143 T00391033,44.4683,-73.1499,3.9,-3.3,180,9,,10+,29.95,VFR,clear,
